"Session","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Video Explanation","Phase Name","Phase Dates","Phase Image","Player Image","Overview","Week","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Monday Colour","Tuesday Colour","Wednesday Colour","Thursday Colour","Friday Colour","Saturday Colour","Sunday Colour","Notes","ID","Created Date","Updated Date","Owner"
"[""Strength Testing""]","Barbell Deep Squat","Start with the barbell on a squat rack at shoulder height. Position it across your upper back while gripping the bar slightly wider than shoulder-width. With feet shoulder-width apart, lift the bar off the rack and step back into position. Keep your chest up and core engaged as you lower into a squat, ensuring your thighs are parallel to the ground or deeper. Push through your heels to return to standing. Gradually add weight to determine your one-rep maximum","1",,"1 Rep Max","Full",,,,,,,,,,,,,,,,,,,,,,,"1d3d7451-60f9-4013-9d69-45a56d8be68e",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Overview""]",,,,,,,,"Kinetic Chain Phase","September-October","wix:image://v1/c4f4b1_a6cdb923e09d4ac4aec19e0302bdc01f~mv2.png/Speed.png#originWidth=1080&originHeight=1080","wix:image://v1/c4f4b1_0613fe2c26694f759ad4c26d15b27f37~mv2.png/SPS%20Program%20Cover%20(4).png#originWidth=400&originHeight=400","The aim in this phase is to transfer force through the kinetic chain without apply antecedental forces to prevent the power.  This will mix both biomechanical work together and with the specific movements of exercises that will naturally align movement. Succesful transfer will be seen in movement and specifically shots and touches.",,,,,,,,,,,,,,,,,"1ffa9e50-6a52-4095-8456-cfa80e07aadc",2025-01-28T15:59:28Z,2025-09-02T17:13:59Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Multi-Plane Step and Reach","Begin standing tall. Step forward at a 45-degree angle and reach both arms forward. Return to start, then step laterally and reach the arms overhead. Return again and then step back diagonally, reaching the arms across the body. Perform each movement smoothly, focusing on joint control, weight shift and balance. Alternate legs with each full cycle.","12 (6x3 steps each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"20209867-384f-4a06-ba5b-2df5ec799083",2025-06-02T20:23:01Z,2025-07-22T20:19:15Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Bear Wall Hold","Position yourself on all fours facing a wall, with your hands under your shoulders and knees under your hips. Lift your knees just off the ground so that they hover an inch or two above the floor – keeping your back flat and core braced. Now press each hand firmly against the wall in front of you while your feet stay planted. Hold this position by actively pressing into the wall with your palms and pushing your heels backwards as if dragging the floor. The goal is full tension across the core, shoulders and hips while maintaining perfect posture. Keep the neck neutral and avoid arching through the lower back. Breathe steadily while holding. If unable to complete without affecting your posture, drop the duration but focus on the technique.","45s","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"206ecb1e-84fc-49f0-88fc-6be8e85a5387",2025-01-29T03:41:35Z,2025-07-22T20:20:09Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule""]",,,,,,,,,,,,,"10th November","<h4 class=""font_4"">B</h4>","<h4 class=""font_4"">E</h4>","<h4 class=""font_4"">F</h4>",,,,,"wix:image://v1/c4f4b1_84429ac03f3f41fba6211548e6a532c9~mv2.png/Session%20B%20(2).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_c3c7b746f77e4aa283e4b2afa2028a96~mv2.png/Session%20E%20(12).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_2f5d4808fadf47e2b7a9c2f60152c76d~mv2.png/Session%20F%20(1).png#originWidth=2000&originHeight=1166",,,,,,"29668647-67c6-4967-adfc-c4f36b5287f7",2025-01-28T15:59:28Z,2025-10-14T16:18:25Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Wall Volleys - Single-Leg Standing","Stand 1–2 metres from a wall. Balance on one side with the opposite foot raised in front. Perform short, controlled volleys against the wall using the raised foot. Keep the standing side stable with minimal hip shift or knee collapse. Trunk and ankle should stay firm throughout. Reset your posture after each volley if needed to maintain balance.","90s (45s each side)","2","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"29f7cde9-7897-4182-a584-5e55b2261e01",2025-07-19T19:33:20Z,2025-07-22T20:37:45Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Strength Testing""]","Barbell Bench Press","Begin lying flat on a bench, feet firmly planted on the ground. Grip the barbell slightly wider than shoulder-width and lift it off the rack, holding it above your chest with arms fully extended. Lower the barbell to your chest in a controlled motion, keeping your elbows at a 45-degree angle, then press it back up to the starting position. Incrementally increase the weight to identify your one-rep maximum.","1",,"1 Rep Max","Full",,,,,,,,,,,,,,,,,,,,,,,"2bb23d78-7cc3-44a7-ad58-ae782de3b9d9",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,"Single-Leg Rudiment Hops","Stand tall with your feet hip-width apart. Engage your core and ensure your posture is upright. Start by hopping forward on one foot, always keeping the other foot off the ground. As you hop, swing one arm forward and one arm back to maintain balance and mimic running mechanics. After completing the hops on one side, switch to your other foot and repeat the same process. Keep in mind, that arms must swing opposite to the hop, mimicking the natural arm swing during running. Aim for a rhythmical, springy hop rather than a high or long jump. Your landing foot should spring off the ground as soon as it touches down, emphasising the reactive strength component. After completing the first set on both sides moving forward, do the same moving left and then moving right. Each time, you should keep minimal ground contact time as the focus, rather than height or distance.","48 (8f, 8,r, 8l, each side)","2","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"2f9a1ace-a60d-4bb3-8477-21491efefd2b",2025-05-08T15:00:36Z,2025-09-02T17:37:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Slider Lateral Lunge to Balance","Stand with one foot on a slider and the other flat on the ground. Slowly slide the foot out into a lateral lunge, keeping the planted foot still and bending that knee while the slider leg stays straight. At the bottom, push through the planted leg to pull yourself back in, lifting the slider foot off the ground into a single-leg balance. Keep the chest lifted and control both the lunge and return phase.","16 (8 each side)","2","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"356c9770-32b4-4772-b114-5a92b264dd1a",2025-01-28T15:59:28Z,2025-06-02T20:52:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""E""]","Fake - Burst - Finish","As the ball rolls, fake the shot and let it continue into your next stride. If the defender is still in front of you, push the ball another 3-yards into space and slightly across the defender, using a stiff arm or leap across to stay in front of them and first to the ball. From there finish on the next touch. You can utilise a toe punt finish if you have little space or time to work with.","2es","2es",,,,,,,,,,,,,,,,,,,,,,,,,"397c5035-9291-47ef-ae06-40bc011cfa66",2025-01-28T15:59:28Z,2025-07-19T20:23:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Upright Turn","Start in an athletic stance with knees slightly bent and torso upright. From the start, turn immediately and take your first step out at a 90-degree angle. Maintain upright posture through the turn and accelerate quickly, using fast hip rotation and a powerful push-off to reach top speed early.","4 (2 each side)","3","75s","'-",,,,,,,,,,,,,,,,,,,,,,,"39c052a1-d1e0-4220-8e2d-dd3f505e89a4",2025-09-02T17:29:07Z,2025-09-02T17:37:39Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Low Turn","Begin in a hip hinge position with your chest slightly forward and hips loaded. Take your first step out at a 45-degree angle, staying low and driving your back hip around the corner to accelerate into a sprint towards the side (90 degrees from the start position).","4 (2 each side)","3","90s","'-",,,,,,,,,,,,,,,,,,,,,,,"40234810-2898-4972-8f36-8630fa1431e1",2025-09-02T17:29:16Z,2025-09-02T17:37:37Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Power Step to Backwards Leap","Propel yourself forwards and land on one foot with your weight shifted slightly forward. Immediately recoil with a backwards leap as far as possible. Focus on turning your hips in on the initial step and then opening them full the opposite direction on the backwards leap.","8 (4 each side)","3","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"44d8563b-dbbb-4318-946b-44f7751a4a00",2025-01-28T15:59:28Z,2025-09-02T17:19:49Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Lateral 90-Degree Turn Hop into Box Jump into Drop Jump","Stand side-on to a plyo box. Perform a lateral hop and rotate 90 degrees mid-air to face the box. Land softly just in front of it on both feet, then immediately spring into a vertical box jump. After landing on top, jump forwards off the other side of the box and control the landing after. Aim to stick the landing but use small bounces to dissipate the energy where necessary.","6 (3 each side)","3","10kg*","75s",,,,,,,,,,,,,,,,,,,,,,,"4561638d-e880-4741-849d-32232c1063de",2025-07-19T19:33:15Z,2025-09-05T13:23:35Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule""]",,,,,,,,,,,,,"20th October","<h4 class=""font_4"">E</h4>",,,,,,,"wix:image://v1/c4f4b1_c3c7b746f77e4aa283e4b2afa2028a96~mv2.png/Session%20E%20(12).png#originWidth=2000&originHeight=1166",,,,,"wix:image://v1/c4f4b1_06aaf983bab04f2c8cd89ab1d373527e~mv2.png/69.png#originWidth=2000&originHeight=1167",,,"457d3808-a777-4ca9-868b-d57fe583262a",2025-01-28T15:59:28Z,2025-10-14T16:17:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4a3b7873-bfbf-4906-b4c0-49d1b456cb74",2025-01-28T15:59:28Z,2025-09-05T13:23:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule""]",,,,,,,,,,,,,"17th November",,,"<h4 class=""font_4"">F</h4>",,,,,,,"wix:image://v1/c4f4b1_2f5d4808fadf47e2b7a9c2f60152c76d~mv2.png/Session%20F%20(1).png#originWidth=2000&originHeight=1166",,,,,,"4bfe5e38-09ef-45a4-b8a5-641f1bb0a027",2025-01-28T15:59:28Z,2025-10-14T16:18:24Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Low-Highs","Begin in a crouched, low athletic stance. Take short, fast steps forward while staying low, then gradually rise into a tall sprinting posture with high knee drive and upright mechanics. Focus on seamless transition from low acceleration steps to full-height sprint form. Keep steps powerful and posture smooth as you shift levels.","4 cycles of (5s high - 5s low)","3","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"4c9f684a-1515-4e84-9276-5293eac4c082",2025-01-29T03:41:31Z,2025-09-05T13:17:28Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule Details""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perform Daily Prehab (Session A) every day in which you are not feeling high levels of soreness. Perform Conditioning (Session H) twice per week either altogether, or split up individually after other sessions.","4da7f8c6-0dfa-4f82-b51b-9cd07c9b22ce",2025-01-28T15:59:28Z,2025-06-12T15:42:52Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule""]",,,,,,,,,,,,,"13th October","<h4 class=""font_4"">B</h4>","<h4 class=""font_4"">E</h4>","<h4 class=""font_4"">F</h4>",,,,,"wix:image://v1/c4f4b1_84429ac03f3f41fba6211548e6a532c9~mv2.png/Session%20B%20(2).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_c3c7b746f77e4aa283e4b2afa2028a96~mv2.png/Session%20E%20(12).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_2f5d4808fadf47e2b7a9c2f60152c76d~mv2.png/Session%20F%20(1).png#originWidth=2000&originHeight=1166",,"wix:image://v1/c4f4b1_8467031a5f4645d48bb7b656ee00baf2~mv2.png/68.png#originWidth=2000&originHeight=1167",,,,"55cd5c13-7a45-4638-8bf5-e4df2ab88522",2025-07-19T19:08:41Z,2025-10-14T16:18:12Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Power Testing""]","Standing Long Jump","Stand with feet shoulder-width apart. Swing your arms back while bending your knees slightly, then explosively jump forward, maximising horizontal distance. Land softly on both feet and measure the jump.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"5d2117fd-010c-4122-9c42-c39d41a3c250",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""F""]","Curled Finish","If driving laterally across the pitch towards one sideline, broaden your plant foot's distance from the ball and ensure it plants facing towards the goal. Whip your back hip around and through the ball while aiming slightly wide of the far post. Aim for an in-swing that carries the ball into the far corner of the goal.","4es","4",,,,,,,,,,,,,,,,,,,,,,,,"Start by receiving in the half-space having pulled out diagonally to offer for the ball. Roll to the inside and drive with 3-yard touches out of your feet. Open into the appropriate finish depending on the angle from goal that you are driving.","5d4aed42-8404-4a62-aa19-4caff48e943b",2025-01-28T15:59:28Z,2025-06-02T19:58:51Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","90 Degree Turn Sprint Against Wall","Stand side-on a short distance away from a wall in an athletic stance. Push off the outside foot, turning 90 degrees as you accelerate forward along the wall’s edge. Use the wall as a barrier to keep your line tight and posture square. Sprint out with powerful first steps and maintain hip rotation speed. Focus on quick turn-in and aggressive acceleration.","4 (2 each side)","3","'-",,,,,,,,,,,,,,,,,,,,,,,,"5d4db6d8-f284-4825-bf97-0ac340409771",2025-09-02T17:35:12Z,2025-09-05T13:22:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Cable Power Turn","Stand perpendicular to a cable machine with the handle attached to the low pulley. Hold the handle with both hands at hip height and step away from the machine to create tension. Rotate your torso and hips towards the machine, pivoting on your outside foot to add more twist to the movement. Then, quickly rotate away from the machine, switching your grip mid-swing, and punch the handle forward (away from the machine) as you finish the rotation, fully extending your arms. Control the return as you rotate back to the starting position, keeping tension on the cable and maintaining a strong core.","10 (5 each side)","3","16kg**","60s",,,,,,,,,,,,,,,,,,,,,,,"65da7c09-4f51-4da0-b960-5414d1771def",2025-01-29T03:41:30Z,2025-09-05T13:15:24Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""F""]","Power Finish","If driving on an angle slightly towards goal up to directly at goal, plant close to the ball while loading heavily into the plant foot. Follow through low-to-mid height past the ball and aim down the centre of the goal.  You can lift the plant foot off the ground in contrast to the shooting foot after the ball is shot for further power. The aim is to have the ball drop or decelerate only momentarily before it reaches the ball and for any swaz to carry it towards the corners rather than past the posts.","4es","4",,,,,,,,,,,,,,,,,,,,,,,,,"65eb9327-9f8d-474a-9bb4-55226ebf1406",2025-01-28T15:59:28Z,2025-06-02T19:58:51Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule""]",,,,,,,,,,,,,"27th October","<h4 class=""font_4"">B</h4>","<h4 class=""font_4"">E</h4>","<h4 class=""font_4"">F</h4>",,,,,"wix:image://v1/c4f4b1_84429ac03f3f41fba6211548e6a532c9~mv2.png/Session%20B%20(2).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_c3c7b746f77e4aa283e4b2afa2028a96~mv2.png/Session%20E%20(12).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_2f5d4808fadf47e2b7a9c2f60152c76d~mv2.png/Session%20F%20(1).png#originWidth=2000&originHeight=1166",,"wix:image://v1/c4f4b1_f6d8b36579884bbd9799ac0b9f2e8cab~mv2.png/70.png#originWidth=2000&originHeight=1167",,,,"68b69e28-933e-4250-afde-25b7c01f023e",2025-01-28T15:59:28Z,2025-10-14T16:18:24Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Backwards Power Step to Forwards Leap","Propel yourself backwards and land on one foot with your weight kept shifted slightly forward. Immediately recoil with a forwards leap as far as possible.","8 (4 each side)","3","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"7aba7f23-8457-4416-b80f-233445451c65",2025-01-28T15:59:28Z,2025-09-02T17:19:49Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Speed Testing""]","C.O.D.A.T.","Set up an M-shape with cones (10m
vertically, 5m horizontally in total - middle of the M 2.5m in). Sprint along the M itself from point to
point and then back to the start as fast as possible.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"7b5be6d4-e9a5-46c9-bea9-13d6b7884206",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""F""]","Fake Shot - Reverse","If driving and unable to open space to shoot or taking an improper set-up touch to finish, exaggerate a fake shot before continuing to drive. Utilise a reversed finish aiming down the centre of the goal but while fully whipping the back hip around the ball such that is is carried into the inside of the near post.","4es","4",,,,,,,,,,,,,,,,,,,,,,,,,"7f9dd41f-e844-412b-af47-6ed32d8e8036",2025-01-28T15:59:28Z,2025-06-02T19:58:51Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,"Scissor Jump","Stand tall with one foot in front and the other behind in a split stance. Jump vertically, switching legs in mid-air and land with the opposite foot forward in the split stance. Keep torso upright and land softly before repeating. Focus on height, crisp leg switch, and balance on each landing.","8 (4 each side)","3","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"8a3ddb3c-ef4a-48e1-a0d3-39d074ac6492",2025-01-28T15:59:28Z,2025-09-05T13:21:19Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Pendulum Bounce","Begin in a slightly bladed stance with one foot in front and the other behind, both roughly shoulder-width apart. From this position, shift your weight quickly forward and backward between both feet in a continuous bouncing motion by rotating at the hips towards the direction you want to shift your weight. Move forwards or backwards a few inches with each jump. Keep the movements light and reactive, using the balls of your feet to minimise ground contact.","30s","3","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"8f8b9b9d-d5bf-4e1c-87f0-b7b45491b99a",2025-01-29T03:41:38Z,2025-09-02T17:30:41Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""E""]","Fake - Finish","As the ball rolls, fake the shot and let it continue into your next stride before finishing. Exaggerate the fake shot such that the defender gets big and is unable to stay in front on the actual shot.","2es","2es",,,,,,,,,,,,,,,,,,,,,,,,"Start in a 1v1 either triple threat to feet or receiving on the edge of the box. Cut either inside or outside with a 3-yard touch then apply one of the variations.","8fa65279-6ae4-4a40-a63c-97efb96eab9f",2025-01-28T15:59:28Z,2025-07-19T20:22:59Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Conditioning Testing""]","Functional Threshold Power","Set a watt bike to
level-3 resistance. The aim is to achieve the highest average cadence / watts across a 30-minute period.
Only one attempt is needed to gauge your score for this test.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"94a24797-78cb-457a-a730-3651091e6c17",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,"Diagonal Drop Step into Vertical Jump","Step diagonally out in front and to one side and bend at the knee to drop lower to the ground. Sink your weight through this plant foot to load up, then immediately push through the ground to jump vertically as high as possible.","10 (5 each side)","2","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"94fdf2ab-eedb-4454-9355-6a88cd84207e",2025-05-08T15:00:43Z,2025-09-02T17:37:06Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Upright Turn to Crossover","Start upright in an athletic position. Take your first step out at a 90-degree angle, opening the hips, for the back hip to then drive around the corner to crossover step, bringing the outside leg across the body to land in front. The inside leg can then extend while turning the outside hip to reverse the direction and accelerate out.","4 (2 each side)","3",,"'-",,,,,,,,,,,,,,,,,,,,,,,"989f1e64-8ad9-4879-be29-4370785545b5",2025-09-02T17:29:01Z,2025-09-02T17:37:50Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Colour Coordinated Jab Steps","Set up a phone or device with a random flashing colour display, assigning each colour to a specific cone positioned around you. Stand in a neutral upright position centrally. When a colour flashes, perform a quick jab step towards the cone that corresponds to that colour, then return immediately to the neutral position. Keep movements sharp and reactive, staying balanced and ready for the next cue.","16","2","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"9d9dcc29-4df1-4543-a44b-e09c849a99e2",2025-01-29T03:41:40Z,2025-09-02T17:30:24Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Long Lever Copenhagen with Hip Drop and Drive","Set up with your top leg supported on a bench, bottom leg hovering beneath. Extend the body fully in a straight line and brace the core. Lower your hips slowly towards the floor under control, then drive the hips back up forcefully to return to parallel. Keep the shoulders stacked, top leg straight and avoid twisting. This develops eccentric adductor strength with control.","10 (5 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"a8e6dc02-5a92-4743-857a-38df3f292ab8",2025-01-29T03:41:28Z,2025-07-22T20:19:15Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-D""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ab716839-2387-4ca2-824e-dcb2fe2dc505",2025-01-28T15:59:28Z,2025-09-05T13:23:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""E""]","Fake - Stop - Go - Finish","As the ball rolls, fake the shot and let it continue into your next stride. If the defender is still in front of you, stop the ball on the spot or slightly cut it back the direction you came, before immediately taking another 3-yard touch to continue in the initial direction and open into the finish.","2es","2es",,,,,,,,,,,,,,,,,,,,,,,,,"b8db2bbb-c3f5-4468-88db-a1d3a61e6a00",2025-01-28T15:59:28Z,2025-07-19T20:23:14Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"baf36798-0dc2-4d5c-832f-965c6b70d63c",2025-02-11T04:43:15Z,2025-09-05T13:23:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Lateral Hip Opener","Stand tall and step laterally with one foot. Lower into a squat, keeping your chest upright, and open your hips to that side. Push through your heels to return to standing and repeat on the opposite side.","16 (8 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"bc2289ad-7f11-4fa4-a623-d350ffac7d1c",2025-06-02T20:22:46Z,2025-07-22T20:19:14Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Low Turn to Crossover","Begin in a hip hinge position with your chest slightly forward and hips loaded. Take your first step out at a 45-degree angle, staying low and driving your back hip around the corner to crossover step, bringing the outside leg across the body to land in front. The inside leg can then extend while turning at the hip to reverse the direction and accelerate out. Stay low and push off forcefully to accelerate while keeping your torso over your hips.","4 (2 each side)","3","75s","'-",,,,,,,,,,,,,,,,,,,,,,,"bc711371-a14f-48e8-ad61-0a06423d0926",2025-09-02T17:29:11Z,2025-09-02T17:37:47Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
