"Session","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Video Explanation","Phase Name","Phase Dates","Phase Image","Player Image","Overview","Week","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Monday Colour","Tuesday Colour","Wednesday Colour","Thursday Colour","Friday Colour","Saturday Colour","Sunday Colour","Notes","ID","Created Date","Updated Date","Owner"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2bb23d78-7cc3-44a7-ad58-ae782de3b9d9",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Wall Marches","Stand facing a wall with hands lightly braced against it for support. Lean forward slightly into a sprinting posture. Drive one knee up towards the chest while keeping the opposite leg extended and foot grounded. Switch legs rhythmically in a straight up-and-down marching pattern, keeping toes dorsiflexed and posture tall. Focus on sharp knee drive and consistent rhythm.","20 (10 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"2f77e07f-4991-4199-b034-6921c4041269",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule""]",,,,,,,,,,,,,"27th October","<h4 class=""font_4"">B</h4>","<h4 class=""font_4"">C</h4>","<h4 class=""font_4"">D</h4>",,,,,"wix:image://v1/c4f4b1_84429ac03f3f41fba6211548e6a532c9~mv2.png/Session%20B%20(2).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_7951c8387f6246988fb060ff76188d3d~mv2.png/Session%20C.png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_447982a100d149e8b3db87df5496d68b~mv2.png/Session%20D%20(2).png#originWidth=2000&originHeight=1166",,,,"wix:image://v1/c4f4b1_635fe97be93a4d43807166ce0eafe9d7~mv2.png/33.png#originWidth=2000&originHeight=1167",,"348b18eb-d9f0-4373-9556-64ca781f4a09",2025-01-23T01:42:18Z,2025-09-26T02:45:59Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]","Diagonal Pogos","Stand on the balls of your feet, bouncing diagonally to one side off both feet with quick, reactive movements. Keep knees slightly bent and minimal ground contact time. Complete in all four diagonal directions.","40s (10s each diagonal)","2","'-","75s",,,,,,,,,,,,,,,,,,,,,,,"356c9770-32b4-4772-b114-5a92b264dd1a",2025-01-23T01:42:18Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"397c5035-9291-47ef-ae06-40bc011cfa66",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"457d3808-a777-4ca9-868b-d57fe583262a",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Bilateral Deceleration","Start on your tiptoes with your arms raised above your head, reaching as tall as possible. Engage your core and, in one swift motion, throw all your weight down into the ground, bending your knees and hips to land in a controlled squat position. Your feet should be shoulder-width apart, and your knees should be tracking over your toes. Hold the squat position briefly to ensure control, then return to the starting position and repeat.","5","2","'-","60s",,,,,,,,,,,,,,,,,,,,,,,"49aa38b5-ca55-43c9-8f0d-d217ee29de59",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4da7f8c6-0dfa-4f82-b51b-9cd07c9b22ce",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Diagonal Bound & Bilateral Stick","Start in an athletic stance. Bound diagonally off one foot, travelling forward and laterally. Land on both feet simultaneously in a low, balanced position, absorbing the force through the hips and holding the landing briefly to show control. Reset and repeat in the opposite direction.","10 (5 each side)","3","'-","75s",,,,,,,,,,,,,,,,,,,,,,,"57172ec6-830b-42e9-ad67-bb12e1eb1688",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5d2117fd-010c-4122-9c42-c39d41a3c250",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5d4aed42-8404-4a62-aa19-4caff48e943b",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Bilateral Deceleration + Lateral Leap","Start tall on your toes with your arms pointed directly upwards overhead. Drop quickly towards the ground and absorb the force in a half-squat. As soon as you stabilise, push off forcefully to the side, leaping laterally to cover distance. Land softly, maintaining control before resetting for the next rep.","10 (5 each side)","3","'-","75s",,,,,,,,,,,,,,,,,,,,,,"Three sessions per week on single-match weeks.","636914f4-0ea5-4cb0-9972-a83f1344c445",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65eb9327-9f8d-474a-9bb4-55226ebf1406",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Seated Broad Jump","Sit on the edge of a bench or box with feet flat on the ground, knees bent at 90 degrees and chest upright. From this static seated position, swing the arms forward and explosively drive through the legs to jump forward as far as possible. Land softly on both feet with knees bent and chest tall. Reset to the bench for each rep. Focus on generating power from a dead start without a counter-movement.","5","3","'-","75s",,,,,,,,,,,,,,,,,,,,,,,"68229bef-cd71-4391-95d5-92ab30d51ab9",2025-03-09T22:11:39Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6895ecd0-b835-4bbc-b19e-a01ced4a07cf",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68b69e28-933e-4250-afde-25b7c01f023e",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Ankle Hops (Forward & Back)","Stand tall with feet hip-width apart and hands by your sides or on your hips. Using only your ankles and calves, perform quick, reactive hops forward and backward over a short distance. Keep your knees mostly straight and land softly on the balls of your feet. Focus on minimal ground contact time and a consistent rhythm. The movement should be springy and controlled, driven through the lower legs without excessive arm swing.","30 (15 forward, 15 back)","1","'-",,,,,,,,,,,,,,,,,,,,,,,,"68bc9d1b-bf89-4ae8-960a-046c514f5612",2025-06-13T14:49:56Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]","Curved Sprint Around Cone","Set a cone as the turning point. Sprint towards it and, without slowing, lean your body slightly into the curve as you run around it. Keep your steps quick and your body angled to maintain speed through the bend. Push off the outside foot to control the curve, then accelerate out of the turn. Focus on rhythm, body lean, and tight foot placement around the cone.","30m (2x15m)","3","'-","Full",,,,,,,,,,,,,,,,,,,,,,,"6b484a9f-832a-4bbc-9f02-fb03039af1d6",2025-01-23T01:42:18Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Double Leap into Backpedal","Start in an athletic stance. Perform two consecutive forward bounds, landing softly on each leap with control and balance. Drop your weight backwards on the second landing by dropping the back knee and opening the back hip. Immediately after landing this second leap, transition into a quick, coordinated backpedal over a few yards. Stay low during the transition and maintain chest posture throughout. Focus on explosive forward movement followed by efficient, reactive retreat.","6 (3 each side)","3","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"6bf0f624-469c-4bcb-99ed-86bfe8ea234c",2025-03-09T22:11:39Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Goblet Squat with Pulse at Bottom","Hold a kettlebell in front of your chest in a goblet position. Squat down until hips are below parallel while keeping the chest upright and heels grounded. At the bottom, perform a small pulse by rising a few centimetres up and then lowering back down before standing tall to finish the rep. Maintain posture and core tension throughout, keeping the pulse controlled rather than bouncing.","8","3","22kg","90s",,,,,,,"17th March","<h4 class=""font_4"">A</h4>","<h4 class=""font_4"">B</h4>",,"<h4 class=""font_4"">C</h4>",,,,"wix:image://v1/c4f4b1_66363ee3f4b34b46b043e9fd7b4a0cc9~mv2.png/Session%20A%20(2).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_84429ac03f3f41fba6211548e6a532c9~mv2.png/Session%20B%20(2).png#originWidth=2000&originHeight=1166",,"wix:image://v1/c4f4b1_7951c8387f6246988fb060ff76188d3d~mv2.png/Session%20C.png#originWidth=2000&originHeight=1166",,,,,"6e33b231-ce72-4144-ae6f-aa4d19c4cd25",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Zercher Front Squat","Position a barbell in the crease of your elbows, holding it securely against your chest with your forearms parallel to the floor. Stand with your feet shoulder-width apart and your core engaged. Lower yourself into a squat by bending at the hips and knees, keeping your chest upright and elbows slightly forward. Descend until your thighs are parallel to the ground, then push through your heels to return to standing.","5","3","60kg*","Full",,,,,,,,,,,,,,,,,,,,,,,"6fdd3c77-a2ca-4f21-8e03-edc4712060ad",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Dynamic Arm Swings","Stand tall with your arms extended at your sides. Swing both arms forward across your chest in a hugging motion, then open them wide again behind your body. Continue alternating swings in a rhythmic fashion, crossing one arm over the other on each rep. Maintain a relaxed posture and allow your shoulders to move freely. This is a light dynamic movement used to activate the upper body.","30","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"75da2aee-b02e-49c3-a127-4253f7a0a63c",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Scapular Push-Ups","Start in a push-up position with your hands under your shoulders. Without bending your elbows, squeeze your shoulder blades together, lowering your chest slightly. Then, push through your hands and round your upper back as your shoulder blades spread apart.","12","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"788f36f6-0d97-48b2-8ef7-8df56d126e7a",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7b5be6d4-e9a5-46c9-bea9-13d6b7884206",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7f9dd41f-e844-412b-af47-6ed32d8e8036",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83b311e4-bc90-4ec7-82ae-8011027af32d",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Banded External Rotations","Attach a resistance band to a sturdy anchor at elbow height. Stand sideways to the anchor and hold the band with your outside hand. Keeping your elbow tucked to your side at 90 degrees, rotate your forearm outward against the band’s resistance. Hold the end range briefly before slowly returning to the start. Avoid using your shoulder or upper body to assist; the movement should come from the rotator cuff muscles.","12 (6 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"849dca2f-0877-431c-a21e-46cbe9512026",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8c33cb81-37ed-475d-934a-cfd783769b23",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Isometric Wall Push","Stand facing a wall in a forward lean with both palms pressed into it at shoulder height. Position one foot forward and one back, knees slightly bent. Actively drive your hands into the wall as hard as possible, bracing through the core and pushing through your back leg. Maintain full tension throughout your body for the duration of the hold, focusing on posture, force intent and ankle stiffness.","30s","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"8f2585bb-de2a-45d3-993e-afa021cbf369",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8fa65279-6ae4-4a40-a63c-97efb96eab9f",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94a24797-78cb-457a-a730-3651091e6c17",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Viking Split Squat Press","Stand in a split stance with one foot forward and the other foot behind, holding the Viking press handle in front of your chest with both hands. Begin by lowering into a split squat, bending both knees until your back knee is just above the floor while keeping your chest upright. As you press through your front heel to return to the standing position, simultaneously press the Viking handle upwards and slightly forward, fully extending your arms. Bring the handle back to your chest as you lower into the next split squat. Ensure you maintain balance and stability throughout the movement by engaging your core.","8 (4 each side)","3","30kg**","90s",,,,,,,,,,,,,,,,,,,,,,,"950f2c2e-a1b1-4857-95cf-2907f13228ad",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Cable X-Row","Set two cable handles at chest height on opposite sides of a dual cable machine. Stand in the centre holding one handle in each hand. Pull the handles back and across your body in an “X” pattern, squeezing the shoulder blades together at the end range. Return slowly to the start with arms extended. Keep chest tall, core braced, and avoid shrugging the shoulders.","5","3","24kg (2x12kg)*","90s",,,,,,,,,,,,,,,,,,,,,,,"9a32e20b-8bc6-4581-ad3d-d9bd4a3bb674",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Kneeling Cable Overhead Crunch","Set a cable pulley high and attach a rope handle. Kneel facing the machine, holding the rope just above your head with elbows bent. Brace your core and curl your torso downwards, bringing your elbows towards your knees while keeping hips still. Pause briefly at the bottom, then return to the starting position with control. Focus on using the abs to pull, not the arms or hips.","12","3","30kg*","90s",,,,,,,,,,,,,,,,,,,,,,,"9bc2605d-6771-4861-9f53-95277c0c7890",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Standing Lateral Raise with Hold","Stand tall holding a dumbbell in each hand at your sides, palms facing inward. With a slight bend in the elbows, raise the arms out to the sides until they reach shoulder height. Hold briefly at the top before lowering slowly under control. Maintain upright posture and avoid swinging. The emphasis is on pausing at peak contraction to build shoulder stability.","10 (5 each side)","3","8kg*","90s",,,,,,,,,,,,,,,,,,,,,,,"9d0f45c5-4bc6-4d62-8115-7ca0d201bae6",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]","Stop & Starts","Sprint forward for 5 metres, then decelerate sharply to a complete stop on the spot. The moment balance is regained, re-accelerate immediately into another 5-metre sprint. Focus on crisp deceleration mechanics with hips low, chest forward and short, controlled braking steps - followed by an explosive first step out of the stop. Maintain posture and control in both the stop and the re-acceleration.","4","3","'-","Full",,,,,,,,,,,,,,,,,,,,,,,"9e685eaf-48f2-44d4-afea-f1931f030d43",2025-01-23T01:42:18Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Plyo Push-Up to Low Box","Set up in a push-up position with a low box placed just in front of your hands. Perform a powerful push-up, driving explosively through the arms to lift your hands off the ground. As you rise, place your hands on the box and absorb the landing by bending the elbows. Reset by stepping or jumping the hands back to the floor and repeat. Keep the core braced, body straight, and focus on speed and power in the push-off.","12","2","'-","60s",,,,,,,,,,,,,,,,,,,,,,,"a1142699-30ba-4c2b-8e86-b36e77060851",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]","Knee Dribbles","Stand tall with a slight forward lean, keeping your core engaged and ankles stiff. Rapidly lift and lower your knees just above shin height, maintaining quick, light foot contacts directly under your hips. Keep the movement fast and controlled, avoiding excessive vertical displacement.","20","2","'-","60s",,,,,,,,,,,,,,,,,,,,,,,"a2b2b0bc-afab-4957-9fa6-f1f0b99d90f7",2025-01-23T01:42:18Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Plank with Shoulder Tap","Begin in a full plank position with hands under shoulders and feet hip-width apart. Keeping your hips stable and core braced, lift one hand to tap the opposite shoulder. Return it to the floor and repeat on the other side. Avoid rotating your hips or shifting your weight side-to-side. Keep the movement smooth and deliberate, maintaining a strong plank line throughout.","20 (10 each side)","2","'-","60s",,,,,,,,,,,,,,,,,,,,,,,"a6599b16-3c19-4e5e-8703-732b2af4498e",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-D""]","Dynamic Leg Swings (Front-To-Back)","Stand tall next to a stable surface, such as a fence or pole, for balance. Shift your weight onto one leg and swing the opposite leg forward and backward in a controlled motion. Keep your torso upright, your core engaged, and avoid arching your back. Start with a small range of motion and gradually increase the height of the swing as your hip flexors and hamstrings loosen. Repeat all reps on one leg before switching to the other.","20 (10 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"a6ddfe4b-913d-49b3-b36a-066bdf930452",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-D""]","Glute Bridge Activation","Lie on your back with knees bent and feet flat on the ground, hip-width apart. Engage your core and press through your heels to lift your hips until your body forms a straight line from shoulders to knees. Hold the top position for 2-3 seconds, ensuring your glutes are fully engaged. Lower under control and repeat. Focus on squeezing your glutes at the top without overextending your lower back.","10","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"a8040585-62bd-4059-a29a-bdc7673dedbb",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]","Bound-Bound-Sprint","Begin in an athletic stance. Perform two powerful horizontal bounds from one leg to the other, covering distance with each stride. After the second bound, immediately transition into a short sprint of 5 to 10 metres. Focus on smooth transitions and aggressive acceleration out of the final bound. Stay low and drive forward during the sprint phase.","4 (2 starting each side)","3","'-","90s",,,,,,,,,,,,,,,,,,,,,,,"ab716839-2387-4ca2-824e-dcb2fe2dc505",2025-01-23T01:42:18Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-D""]","Hurdle Step-Overs","Set a line of low hurdles or cones in front of you. Step over each hurdle one at a time by lifting the lead knee high and driving it forward while keeping the torso upright. Clear the hurdle without rotating your hips or leaning to the side, then follow through with the trail leg in a smooth motion. Continue through the sequence with controlled and deliberate steps. Maintain balance and posture throughout. Without any equipment simply imagine hip-height hurdles to step over.","10 (5 each leg)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"b1526873-4abe-413d-ba05-c23d09496107",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
